 format: day,hour,forecast,value  location:59_126 Start : 20231119 
 19,2000,+28,5.000000 
 19,2000,+29,7.000000 
 19,2000,+30,9.000000 
 19,2000,+31,11.000000 
 19,2000,+32,12.000000 
 19,2000,+33,13.000000 
 19,2000,+34,13.000000 
 19,2000,+35,13.000000 
 19,2000,+36,11.000000 
 19,2000,+37,10.000000 
 19,2000,+38,10.000000 
 19,2000,+39,9.000000 
 19,2000,+40,8.000000 
 19,2000,+41,8.000000 
 19,2000,+42,8.000000 
 19,2000,+43,7.000000 
 19,2000,+44,7.000000 
 19,2000,+45,7.000000 
 19,2000,+46,6.000000 
 19,2000,+47,6.000000 
 19,2000,+48,6.000000 
 19,2000,+49,6.000000 
 19,2000,+50,6.000000 
 19,2000,+51,6.000000 
 19,2000,+52,7.000000 
 19,2000,+53,9.000000 
 19,2000,+54,10.000000 
 19,2000,+55,11.000000 
 19,2000,+56,13.000000 
 19,2000,+57,13.000000 
 19,2000,+58,13.000000 
 19,2000,+59,13.000000 
 19,2000,+60,13.000000 
 19,2000,+61,12.000000 
 19,2000,+62,12.000000 
 19,2000,+63,12.000000 
 19,2000,+64,12.000000 
 19,2000,+65,12.000000 
 19,2000,+66,12.000000 
 19,2000,+67,12.000000 
 19,2300,+6,10.000000 
 19,2300,+7,10.000000 
 19,2300,+8,10.000000 
 19,2300,+9,9.000000 
 19,2300,+10,8.000000 
 19,2300,+11,8.000000 
 19,2300,+12,7.000000 
 19,2300,+13,6.000000 
 19,2300,+14,6.000000 
 19,2300,+15,6.000000 
 19,2300,+16,5.000000 
 19,2300,+17,5.000000 
 19,2300,+18,5.000000 
 19,2300,+19,4.000000 
 19,2300,+20,4.000000 
 19,2300,+21,4.000000 
 19,2300,+22,3.000000 
 19,2300,+23,3.000000 
 19,2300,+24,3.000000 
 19,2300,+25,5.000000 
 19,2300,+26,7.000000 
 19,2300,+27,9.000000 
 19,2300,+28,11.000000 
 19,2300,+29,12.000000 
 19,2300,+30,13.000000 
 19,2300,+31,13.000000 
 19,2300,+32,13.000000 
 19,2300,+33,11.000000 
 19,2300,+34,10.000000 
 19,2300,+35,10.000000 
 19,2300,+36,9.000000 
 19,2300,+37,8.000000 
 19,2300,+38,8.000000 
 19,2300,+39,8.000000 
 19,2300,+40,7.000000 
 19,2300,+41,7.000000 
 19,2300,+42,7.000000 
 19,2300,+43,6.000000 
 19,2300,+44,6.000000 
 19,2300,+45,6.000000 
 19,2300,+46,6.000000 
 19,2300,+47,6.000000 
 19,2300,+48,6.000000 
 19,2300,+49,7.000000 
 19,2300,+50,9.000000 
 19,2300,+51,10.000000 
 19,2300,+52,11.000000 
 19,2300,+53,13.000000 
 19,2300,+54,13.000000 
 19,2300,+55,13.000000 
 19,2300,+56,13.000000 
 19,2300,+57,13.000000 
 19,2300,+58,12.000000 
 19,2300,+59,12.000000 
 19,2300,+60,12.000000 
 19,2300,+61,12.000000 
 19,2300,+62,12.000000 
 19,2300,+63,12.000000 
 19,2300,+64,12.000000 
 Start : 20231120 
 -971917344,0200,+6,0.000000 
 -971917344,0200,+7,0.000000 
 -971917344,0200,+8,0.000000 
 -971917344,0200,+9,0.000000 
 -971917344,0200,+10,0.000000 
 -971917344,0200,+11,0.000000 
 -971917344,0200,+12,0.000000 
 -971917344,0200,+13,0.000000 
 -971917344,0200,+14,0.000000 
 -971917344,0200,+15,0.000000 
 -971917344,0200,+16,0.000000 
 -971917344,0200,+17,0.000000 
 -971917344,0200,+18,0.000000 
 -971917344,0200,+19,0.000000 
 -971917344,0200,+20,0.000000 
 -971917344,0200,+21,0.000000 
 -971917344,0200,+22,0.000000 
 -971917344,0200,+23,0.000000 
 -971917344,0200,+24,0.000000 
 -971917344,0200,+25,0.000000 
 -971917344,0200,+26,0.000000 
 -971917344,0200,+27,0.000000 
 -971917344,0200,+28,0.000000 
 -971917344,0200,+29,0.000000 
 -971917344,0200,+30,0.000000 
 -971917344,0200,+31,0.000000 
 -971917344,0200,+32,0.000000 
 -971917344,0200,+33,0.000000 
 -971917344,0200,+34,0.000000 
 -971917344,0200,+35,0.000000 
 -971917344,0200,+36,0.000000 
 -971917344,0200,+37,0.000000 
 -971917344,0200,+38,0.000000 
 -971917344,0200,+39,0.000000 
 -971917344,0200,+40,0.000000 
 -971917344,0200,+41,0.000000 
 -971917344,0200,+42,0.000000 
 -971917344,0200,+43,0.000000 
 -971917344,0200,+44,0.000000 
 -971917344,0200,+45,0.000000 
 -971917344,0200,+46,0.000000 
 -971917344,0200,+47,0.000000 
 -971917344,0200,+48,0.000000 
 -971917344,0200,+49,0.000000 
 -971917344,0200,+50,0.000000 
 -971917344,0200,+51,0.000000 
 -971917344,0200,+52,0.000000 
 -971917344,0200,+53,0.000000 
 -971917344,0200,+54,0.000000 
 -971917344,0200,+55,0.000000 
 -971917344,0200,+56,0.000000 
 -971917344,0200,+57,0.000000 
 -971917344,0200,+58,0.000000 
 -971917344,0200,+59,0.000000 
 -971917344,0200,+60,0.000000 
 -971917344,0200,+61,0.000000 
 -971917344,0500,+6,0.000000 
